trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
57,False,"{'a': 0.4, 'e': 0.563905190452388}",25,0,-105.7172195175,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
58,False,"{'a': 0.4, 'e': 0.5582661385478641}",25,10,-14.03136935545115,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
59,False,"{'a': 0.4, 'e': 0.5526834771623854}",20,0,7.1192858452339545,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.4, 'e': 0.5471566423907616}",20,0,-45.39523038051798,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
61,False,"{'a': 0.4, 'e': 0.5416850759668539}",30,18,14.373664259314538,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.4, 'e': 0.5362682252071853}",20,13,-0.6801344233727047,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
63,False,"{'a': 0.4, 'e': 0.5309055429551135}",25,0,-48.663077660788524,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
64,False,"{'a': 0.4, 'e': 0.5255964875255623}",20,10,-33.09113617102635,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.4, 'e': 0.5203405226503067}",30,17,-9.734624210058481,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
66,False,"{'a': 0.4, 'e': 0.5151371174238036}",35,4,-15.908338362681809,"{0: 26, 1: 1, 2: 4, 3: 0, 4: 0}",1
67,False,"{'a': 0.4, 'e': 0.5099857462495656}",25,13,23.86900683372161,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.4, 'e': 0.50488588878707}",20,0,-43.61987434003731,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
69,False,"{'a': 0.4, 'e': 0.49983702989919926}",25,11,-26.287594489663864,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
70,False,"{'a': 0.4, 'e': 0.4948386596002073}",25,0,-16.88354643685547,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
71,False,"{'a': 0.4, 'e': 0.48989027300420523}",20,11,17.15683041945095,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.4, 'e': 0.48499137027416317}",25,0,19.35664351281227,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.4, 'e': 0.48014145657142154}",25,12,-37.48539115584238,"{0: 8, 1: 2, 2: 2, 3: 1, 4: 0}",1
74,False,"{'a': 0.4, 'e': 0.47534004200570734}",25,3,-95.95228219039305,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 2}",1
75,False,"{'a': 0.4, 'e': 0.4705866415856503}",20,0,-16.234614654613736,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.4, 'e': 0.46588077516979376}",20,15,-33.851633395315766,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.4, 'e': 0.46122196741809585}",25,0,-36.477347488847414,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.4, 'e': 0.4566097477439149}",20,0,-5.7884687645367086,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
79,False,"{'a': 0.4, 'e': 0.45204365026647575}",25,0,-74.7019127472067,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.4, 'e': 0.447523213763811}",25,7,-52.71478307223353,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
81,False,"{'a': 0.4, 'e': 0.44304798162617287}",30,8,-23.000180596214154,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 0}",1
82,False,"{'a': 0.4, 'e': 0.43861750180991116}",25,1,-132.1389018531279,"{0: 13, 1: 4, 2: 5, 3: 0, 4: 2}",1
83,False,"{'a': 0.4, 'e': 0.43423132679181203}",25,11,2.3112090446645768,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.4, 'e': 0.4298890135238939}",20,8,-2.3552292340278713,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.4, 'e': 0.425590123388655}",20,3,-43.800680624057385,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 1}",1
86,False,"{'a': 0.4, 'e': 0.42133422215476846}",20,11,-2.668904938643246,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.4, 'e': 0.4171208799332208}",35,17,-44.38617843149085,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
88,False,"{'a': 0.4, 'e': 0.4129496711338886}",20,0,-48.31019379763461,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.4, 'e': 0.4088201744225497}",20,3,22.229692647515513,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.4, 'e': 0.4047319726783242}",20,7,21.45732420787035,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.4, 'e': 0.400684652951541}",30,0,9.285003047040844,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.4, 'e': 0.3966778064220256}",25,20,9.262389680126091,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.4, 'e': 0.39271102835780536}",25,16,5.139323839109959,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.4, 'e': 0.3887839180742273}",20,0,-11.118573298980568,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
95,False,"{'a': 0.4, 'e': 0.38489607889348504}",20,0,-1.3003351109254027,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
96,False,"{'a': 0.4, 'e': 0.38104711810455016}",20,0,-29.12719803748217,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.4, 'e': 0.37723664692350467}",20,0,18.703546244911774,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
98,False,"{'a': 0.4, 'e': 0.3734642804542696}",30,7,21.65655568495838,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.4, 'e': 0.3697296376497269}",25,15,-8.37781201906312,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.4, 'e': 0.3660323412732296}",20,5,-12.152565327452578,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.4, 'e': 0.3623720178604973}",25,0,-31.524741509177368,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
102,False,"{'a': 0.4, 'e': 0.3587482976818923}",30,0,-80.91084309060007,"{0: 26, 1: 0, 2: 1, 3: 1, 4: 2}",0
103,False,"{'a': 0.4, 'e': 0.3551608147050734}",35,11,7.546384015723601,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",1
104,False,"{'a': 0.4, 'e': 0.35160920655802264}",25,11,-42.85802541287416,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.4, 'e': 0.3480931144924424}",20,0,-35.69072822697707,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
106,False,"{'a': 0.4, 'e': 0.344612183347518}",25,0,-14.915864326199536,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
107,False,"{'a': 0.4, 'e': 0.3411660615140428}",25,0,25.086087862112144,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.4, 'e': 0.33775440089890235}",20,4,9.78138972376209,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'a': 0.4, 'e': 0.3343768568899133}",20,9,-24.154928974882278,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'a': 0.4, 'e': 0.3310330883210142}",20,0,11.965628020196416,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
111,False,"{'a': 0.4, 'e': 0.32772275743780405}",30,17,-20.037523053870302,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.4, 'e': 0.324445529863426}",20,7,2.205234064409651,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.4, 'e': 0.32120107456479174}",20,16,7.406521483128032,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.4, 'e': 0.3179890638191438}",20,0,-31.005206950305553,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
115,False,"{'a': 0.4, 'e': 0.31480917318095236}",30,12,-19.958235140454818,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.4, 'e': 0.31166108144914284}",20,15,9.735895160017648,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.4, 'e': 0.3085444706346514}",20,10,-3.368933922556519,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.4, 'e': 0.3054590259283049}",20,12,-27.004566204441183,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.4, 'e': 0.3024044356690218}",20,0,-50.23826943750232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
120,False,"{'a': 0.4, 'e': 0.2993803913123316}",25,2,2.0910471558868804,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 0}",1
121,False,"{'a': 0.4, 'e': 0.29638658739920826}",25,12,3.2862072726627596,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.4, 'e': 0.2934227215252162}",30,14,-16.647533129161467,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.4, 'e': 0.29048849430996404}",25,17,14.113484352336313,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
